person_id,height,bust,waist,hips,product_id,garment_bust,garment_waist,garment_hip,garment_length,garment_sleeve,label_status,bust_ease,waist_ease,hip_ease,bust_ratio,waist_ratio,hip_ratio,bust_mismatch,waist_mismatch,hip_mismatch,bust_relative_mismatch,waist_relative_mismatch,hip_relative_mismatch,mean_ease,ease_std,known_fit_dimensions,tight_dimension_count,extreme_ease_count,length_height_ratio,physical_mismatch,missing_measurement_count,measurement_complete
Jess,176.0,99.0,78.0,112.0,raspberry-ls-tee#WhiteRaspb,112.0,112.0,118.0,73.0,70.0,unknown,13.0,34.0,6.0,1.1313131313131313,1.435897435897436,1.0535714285714286,13.0,34.0,6.0,0.13131313131313133,0.4358974358974359,0.05357142857142857,17.666666666666668,14.571661996262929,3,0,0,0.4147727272727273,0.20692733192733193,0,True
Jess,176.0,99.0,78.0,112.0,mila-knit-cardigan#Clay,102.0,100.0,98.0,100.0,66.0,unknown,3.0,22.0,-14.0,1.0303030303030303,1.2820512820512822,0.875,3.0,22.0,14.0,0.030303030303030304,0.28205128205128205,0.125,3.6666666666666665,18.0092568789868,3,1,0,0.5681818181818182,0.14578477078477078,0,True
Jess,176.0,99.0,78.0,112.0,cara-tee-3#Mustard,100.0,98.0,106.0,67.0,28.0,unknown,1.0,20.0,-6.0,1.0101010101010102,1.2564102564102564,0.9464285714285714,1.0,20.0,6.0,0.010101010101010102,0.2564102564102564,0.05357142857142857,5.0,13.45362404707371,3,1,0,0.3806818181818182,0.10669423169423169,0,True
Jess,176.0,99.0,78.0,112.0,the-v-neck-stripe-top#BlkStripe,165.0,,157.0,72.0,74.0,unknown,66.0,,45.0,1.6666666666666667,,1.4017857142857142,66.0,,45.0,0.6666666666666666,,0.4017857142857143,55.5,14.849242404917497,2,0,1,0.4090909090909091,0.5342261904761905,1,False
Jess,176.0,99.0,78.0,112.0,elcos-top#LightGrey,118.0,110.0,104.0,61.0,53.0,unknown,19.0,32.0,-8.0,1.1919191919191918,1.4102564102564104,0.9285714285714286,19.0,32.0,8.0,0.1919191919191919,0.41025641025641024,0.07142857142857142,14.333333333333334,20.404247923737188,3,1,0,0.3465909090909091,0.22453472453472453,0,True
Jess,176.0,99.0,78.0,112.0,belle-deep-v-mesh-top#Black,164.0,134.0,116.0,68.0,65.0,positive,65.0,56.0,4.0,1.6565656565656566,1.7179487179487178,1.0357142857142858,65.0,56.0,4.0,0.6565656565656566,0.717948717948718,0.03571428571428571,41.666666666666664,32.929217016706204,3,0,2,0.38636363636363635,0.47007622007622013,0,True
Jess,176.0,99.0,78.0,112.0,milan-stretch-top#Navy,130.0,122.0,126.0,62.0,57.0,unknown,31.0,44.0,14.0,1.3131313131313131,1.564102564102564,1.125,31.0,44.0,14.0,0.31313131313131315,0.5641025641025641,0.125,29.666666666666668,15.044378795195676,3,0,0,0.3522727272727273,0.33407795907795906,0,True
Jess,176.0,99.0,78.0,112.0,walk-in-the-park-cardi#Sand,116.0,124.0,,107.0,63.0,unknown,17.0,46.0,,1.1717171717171717,1.5897435897435896,,17.0,46.0,,0.1717171717171717,0.5897435897435898,,31.5,20.506096654409877,2,0,0,0.6079545454545454,0.38073038073038074,1,False
Jess,176.0,99.0,78.0,112.0,the-frill-wrap-blouse#Spot,114.0,103.0,123.0,69.0,72.0,unknown,15.0,25.0,11.0,1.1515151515151516,1.3205128205128205,1.0982142857142858,15.0,25.0,11.0,0.15151515151515152,0.32051282051282054,0.09821428571428571,17.0,7.211102550927978,3,0,0,0.39204545454545453,0.1900807525807526,0,True
Jess,176.0,99.0,78.0,112.0,paige-top#Black,73.0,59.0,,72.0,66.0,positive,-26.0,-19.0,,0.7373737373737373,0.7564102564102564,,26.0,19.0,,0.26262626262626265,0.24358974358974358,,-22.5,4.949747468305833,2,2,0,0.4090909090909091,0.25310800310800313,1,False
Jess,176.0,99.0,78.0,112.0,long-sleeve-softly-swinging-bamboo-tee#Combat,113.0,121.0,153.0,78.0,72.0,positive,14.0,43.0,41.0,1.1414141414141414,1.5512820512820513,1.3660714285714286,14.0,43.0,41.0,0.1414141414141414,0.5512820512820513,0.36607142857142855,32.666666666666664,16.19670748434179,3,0,0,0.4431818181818182,0.35292254042254045,0,True
Jess,176.0,99.0,78.0,112.0,sugar-snaps-layers-tank#White,126.0,132.0,139.0,67.0,,positive,27.0,54.0,27.0,1.2727272727272727,1.6923076923076923,1.2410714285714286,27.0,54.0,27.0,0.2727272727272727,0.6923076923076923,0.24107142857142858,36.0,15.588457268119896,3,0,1,0.3806818181818182,0.4020354645354645,1,False
Jess,176.0,99.0,78.0,112.0,long-sleeve-softly-swinging-bamboo-tee#Copper,113.0,121.0,153.0,78.0,72.0,positive,14.0,43.0,41.0,1.1414141414141414,1.5512820512820513,1.3660714285714286,14.0,43.0,41.0,0.1414141414141414,0.5512820512820513,0.36607142857142855,32.666666666666664,16.19670748434179,3,0,0,0.4431818181818182,0.35292254042254045,0,True
Jess,176.0,99.0,78.0,112.0,buttoned-top#Spotty,126.0,,146.0,65.0,25.0,positive,27.0,,34.0,1.2727272727272727,,1.3035714285714286,27.0,,34.0,0.2727272727272727,,0.30357142857142855,30.5,4.949747468305833,2,0,0,0.3693181818181818,0.28814935064935066,1,False
Jess,176.0,99.0,78.0,112.0,sequin-star-tee#Navy,106.0,120.0,136.0,74.0,30.0,positive,7.0,42.0,24.0,1.0707070707070707,1.5384615384615385,1.2142857142857142,7.0,42.0,24.0,0.0707070707070707,0.5384615384615384,0.21428571428571427,24.333333333333332,17.502380790433435,3,0,0,0.42045454545454547,0.2744847744847745,0,True
Jess,176.0,99.0,78.0,112.0,sky-jumper-1#Clouds,136.0,128.0,126.0,55.0,60.0,unknown,37.0,50.0,14.0,1.3737373737373737,1.641025641025641,1.125,37.0,50.0,14.0,0.37373737373737376,0.6410256410256411,0.125,33.666666666666664,18.230011885167087,3,0,0,0.3125,0.37992100492100495,0,True
Jess,176.0,99.0,78.0,112.0,softly-swinging-bamboo-tee#Jewel,109.0,120.0,164.0,77.0,32.0,positive,10.0,42.0,52.0,1.101010101010101,1.5384615384615385,1.4642857142857142,10.0,42.0,52.0,0.10101010101010101,0.5384615384615384,0.4642857142857143,34.666666666666664,21.93931022920578,3,0,1,0.4375,0.3679191179191179,0,True
Jess,176.0,99.0,78.0,112.0,roll-neck-jumper-3#GreyMarl,100.0,100.0,100.0,68.0,54.0,unknown,1.0,22.0,-12.0,1.0101010101010102,1.2820512820512822,0.8928571428571429,1.0,22.0,12.0,0.010101010101010102,0.28205128205128205,0.10714285714285714,3.6666666666666665,17.15614564327703,3,1,0,0.38636363636363635,0.1330983830983831,0,True
